handle,platform,text,persona,received
lilyxo,tiktok,i've got a wedding in a month. i work nights and my routine is upside down. what actually matters,,2026-09-17T03:53:42.345Z
kayleigh_uk,instagram,We're launching a serum in Q1 and Maya feels like the perfect fit for our UK push. Media kit attached — best email for your manager?,,2026-09-17T01:04:54.178Z
evie_uk,tiktok,sorry to dm but if you could only keep ONE of these which one,,2026-09-16T18:19:24.345Z
tilda_x,instagram,sorry to dm but dry and flaky since october. there are 500 versions of this. just tell me,,2026-09-16T16:51:34.822Z
sadeldn,tiktok,i'm 34 and my skin's changed since having my baby. can i use the Daily Gel and the Night Serum together or will that be too much for me,,2026-09-16T12:14:07.342Z
noor.skin,tiktok,why is everything £80 now. is there a version of the Night Serum that isn't,,2026-09-16T04:25:51.455Z
ruth.87,tiktok,i've got a wedding in a month. two things max. i have a toddler and no time,,2026-09-16T01:30:13.953Z
lily92,tiktok,is the Red Reset actually worth £32 or am i being influenced,,2026-09-15T22:01:32.423Z
yaz.notes,tiktok,"london, hard water, if that matters. why is everything £80 now. is there a version of the Clear Wash that isn't",,2026-09-15T21:09:35.636Z
zainabss,tiktok,i've got a wedding in a month. is the Glass Drop actually worth £62 or am i being influenced,,2026-09-15T16:30:21.245Z
kayleigh.beauty,instagram,i have 5 mins. give me the two things that matter,,2026-09-15T15:39:08.181Z
noor.87,tiktok,dry and flaky since october. is the Night Serum actually worth £42 or am i being influenced,,2026-09-15T13:27:46.297Z
dani.notes,instagram,🔥 GROW TO 100K FOLLOWERS IN 30 DAYS ✅ real uk accounts ✅ no password ✅ dm BOOST,,2026-09-15T12:59:08.928Z
cleoss,instagram,"student budget, sorry. i already have the Night Serum. do i need the Soft Clean too or is that overkill",,2026-09-15T04:11:38.647Z
fern.87,instagram,every time i try something new my face freaks out. where do i even start,,2026-09-15T01:42:51.603Z
tilda.87,instagram,"oily t-zone, dry everywhere else. i already have the SPF 50. do i need the Soft Clean too or is that overkill",,2026-09-15T01:16:51.201Z
anya.skin,tiktok,i've screenshotted your whole shelf and i'm working through it,,2026-09-14T19:28:25.600Z
priya.skin,instagram,"darker skin, marks stay for months. what's the one thing worth buying if i buy nothing else thank you!!",,2026-09-14T18:40:08.351Z
hen.beauty,tiktok,i work nights and my routine is upside down. what actually matters no rush!,,2026-09-14T18:17:42.234Z
anyaldn,tiktok,Hi! I'm reaching out from a talent agency — would you be open to a quick call about representation?,,2026-09-14T17:31:06.179Z
immy.beauty,tiktok,"Hello dear, we are a Korean beauty brand seeking UK influencers for long term cooperation. Gifting only at this stage.",,2026-09-14T12:32:32.456Z
bea.and.co,tiktok,if you could only keep ONE of these which one,,2026-09-14T12:30:38.748Z
bea.skin,instagram,you told me not to buy something once and it saved me £40. thank you,,2026-09-14T11:50:42.218Z
lex_x,tiktok,"hey!! combination skin, mid twenties. the Glass Drop or the Daily Gel? i want your answer not a list",,2026-09-14T11:32:00.891Z
sade.skin,tiktok,INVEST £200 GET £2000 BACK IN 48HRS crypto trading dm for details 📈📈,,2026-09-14T07:50:15.452Z
kayleighss,instagram,redness on my cheeks that never really goes. i have 5 mins. give me the two things that matter sorry this is long.,,2026-09-14T05:37:10.211Z
tara_uk,instagram,"hi maya oily t-zone, dry everywhere else. why is everything £60 now. is there a version of the Tint Veil that isn't been following since the £50 video.",,2026-09-14T04:38:59.546Z
kayleigh.87,tiktok,dry and flaky since october. forget the brand. what would YOU buy,,2026-09-14T03:17:25.137Z
anya_london,instagram,i'm 34 and my skin's changed since having my baby. genuinely you're the only person i believe about any of this,,2026-09-14T00:00:51.434Z
tildaxo,tiktok,forget the brand. what would YOU buy,,2026-09-13T18:43:13.982Z
priya.notes,instagram,i already have the Oil Balm. do i need the Soft Clean too or is that overkill,,2026-09-13T14:28:52.865Z
jen.does.makeup,tiktok,every time i try something new my face freaks out. where do i even start,,2026-09-13T13:31:36.351Z
cleo92,tiktok,"darker skin, marks stay for months. is it worth saving for the Night Serum or is the cheap one fine",,2026-09-13T08:37:04.567Z
maeve_london,instagram,i've got a wedding in a month. the Oil Balm is £29 which is a whole week of food for me. talk me through it happy to use your link.,,2026-09-13T07:19:27.463Z
roisin.and.co,tiktok,i do not want options i want one thing. what is it i know you get a million of these.,,2026-09-13T05:21:23.547Z
kayleighxo,instagram,the Daily Gel is £24 which is a whole week of food for me. talk me through it,,2026-09-13T05:07:57.700Z
yaz92,instagram,"darker skin, marks stay for months. forget the brand. what would YOU buy",,2026-09-13T00:25:50.815Z
bea_x,tiktok,Maya I have a first date Friday HELP,,2026-09-12T19:28:15.260Z
aisha.face,instagram,"london, hard water, if that matters. ok but what's actually on your shelf right now, not the sponsored stuff",,2026-09-12T15:19:18.583Z
tilda_uk,tiktok,redness on my cheeks that never really goes. genuinely which of these do you use and which did you get sent,,2026-09-12T12:52:40.465Z
bella.and.co,instagram,"Hello dear, we are a Spanish beauty brand seeking UK influencers for long term cooperation. Gifting only at this stage.",,2026-09-12T07:11:34.094Z
fernxo,instagram,is the Clear Wash actually worth £20 or am i being influenced,,2026-09-12T05:43:57.008Z
kem.and.co,tiktok,"hey!! darker skin, marks stay for months. there are 500 versions of this. just tell me",,2026-09-12T03:24:49.939Z
olaxo,instagram,dry and flaky since october. is the Daily Gel okay if my skin is reactive,,2026-09-12T03:11:27.954Z
lex.does.makeup,instagram,hiya been following for two years and never messaged. finally sorting my routine out next month,,2026-09-12T02:36:27.900Z
yaz_x,instagram,i've got £32 and that's genuinely it. what do i buy,,2026-09-12T00:36:19.075Z
sadexo,tiktok,"combination skin, mid twenties. i've screenshotted your whole shelf and i'm working through it",,2026-09-11T22:58:59.850Z
priyass,tiktok,is it worth saving for the Cloud Cream or is the cheap one fine,,2026-09-11T16:59:53.326Z
immy.does.makeup,instagram,my skin has reacted to something and i don't know what. it is hot and tight,,2026-09-11T11:11:31.588Z
dani.87,tiktok,i work nights and my routine is upside down. what actually matters,,2026-09-11T07:08:11.556Z
anya_london,instagram,i've read everything and i'm more confused than when i started. just pick for me no rush!,,2026-09-11T03:11:09.652Z
nia.does.makeup,instagram,hey babe check my page 😘,,2026-09-11T02:24:00.226Z
tildaxo,instagram,Hi Maya! 💕 We'd love to send you our new serum line for an honest review — just 3 in-feed posts and 1 stories. Shall I send the deck?,,2026-09-11T02:02:08.098Z
noor.beauty,instagram,genuinely which of these do you use and which did you get sent,,2026-09-10T17:57:06.293Z
ruthss,instagram,every time i try something new my face freaks out. where do i even start,,2026-09-10T16:39:08.409Z
lily92,instagram,hi maya i'm 34 and my skin's changed since having my baby. is it worth saving for the Tint Veil or is the cheap one fine,,2026-09-10T13:08:42.826Z
anya.does.makeup,instagram,i already have the Red Reset. do i need the Night Serum too or is that overkill,,2026-09-10T12:42:57.565Z
mo.03,tiktok,had my baby three weeks ago and i don't recognise my own face,,2026-09-10T12:40:04.530Z
kem92,instagram,what's the minimum i can get away with and still look like i tried,,2026-09-10T12:36:26.383Z
fern_x,instagram,i'm 34 and my skin's changed since having my baby. i've read everything and i'm more confused than when i started. just pick for me,,2026-09-10T12:30:18.298Z
yaz_x,instagram,forget the brand. what would YOU buy,,2026-09-10T10:33:02.044Z
shanxo,tiktok,hey babe check my page 😘,,2026-09-10T05:09:59.689Z
nia.does.makeup,instagram,"darker skin, marks stay for months. what would you do if it was your money sorry this is long.",,2026-09-10T01:45:05.576Z
lex.87,tiktok,is the Clear Wash actually worth £20 or am i being influenced happy to use your link.,,2026-09-09T20:30:02.775Z
cleo.does.makeup,instagram,dry and flaky since october. i've screenshotted your whole shelf and i'm working through it,,2026-09-09T18:26:21.441Z
maeve.87,tiktok,job interview monday and i am panicking. what do i do,,2026-09-09T09:15:34.910Z
roisin_london,instagram,saved your last one. buying the Soft Clean on payday,,2026-09-09T02:35:36.546Z
hen_x,tiktok,why is everything £60 now. is there a version of the Red Reset that isn't,,2026-09-09T01:32:48.716Z
niass,tiktok,"no time, no money, oily skin. what are the two things",,2026-09-08T23:34:33.059Z
lex_uk,tiktok,"london, hard water, if that matters. the Soft Clean or the Night Serum? i want your answer not a list",,2026-09-08T23:15:21.760Z
zainabldn,instagram,is the Tint Veil actually worth £34 or am i being influenced,,2026-09-08T22:32:23.544Z
priya92,tiktok,i've got a wedding in a month. i've got £34 and that's genuinely it. what do i buy,,2026-09-08T21:40:31.701Z
yaz.03,instagram,is the Night Serum okay if my skin is reactive no rush!,,2026-09-08T21:16:05.773Z
immy_uk,instagram,my dermatologist has put me on something and i do not know what i can still use,,2026-09-08T19:04:06.656Z
lily.beauty,tiktok,every time i try something new my face freaks out. where do i even start thank you!!,,2026-09-08T17:24:30.548Z
dani_x,instagram,can i use the Tint Veil and the Soft Clean together or will that be too much for me thank you!!,,2026-09-08T14:01:05.656Z
fern.face,instagram,Hi Maya! 💕 We'd love to send you our new serum line for an honest review — just 4 in-feed posts and 3 stories. Shall I send the deck?,,2026-09-08T09:12:01.093Z
sadess,instagram,"london, hard water, if that matters. does the Night Serum have fragrance in it? everything with fragrance hates me i know you get a million of these.",,2026-09-08T09:05:37.945Z
shan.does.makeup,instagram,why is everything £100 now. is there a version of the Clear Wash that isn't,,2026-09-08T03:37:32.548Z
zainabxo,tiktok,i work nights and my routine is upside down. what actually matters,,2026-09-08T01:47:23.860Z
fern92,instagram,hi maya dry and flaky since october. the Soft Clean or the Cloud Cream? i want your answer not a list,,2026-09-08T01:21:37.671Z
immyldn,tiktok,genuinely which of these do you use and which did you get sent,,2026-09-07T22:46:37.058Z
zainab.does.makeup,tiktok,"darker skin, marks stay for months. every time i try something new my face freaks out. where do i even start",,2026-09-07T19:06:53.670Z
tarass,instagram,"oily t-zone, dry everywhere else. i work nights and my routine is upside down. what actually matters",,2026-09-07T15:52:06.105Z
graciexo,tiktok,"oily t-zone, dry everywhere else. no question, just saving this. thank you",,2026-09-07T15:40:29.641Z
evie92,tiktok,i've got a wedding in a month. i saw the thing you recommended last week. buying it payday sorry this is long.,,2026-09-07T14:58:35.694Z
fern.notes,tiktok,We're launching a serum in Q1 and Maya feels like the perfect fit for our UK push. Media kit attached — best email for your manager?,,2026-09-07T14:46:19.679Z
hen_london,tiktok,"hi maya can you make me a routine but only 2 products, i will not do 8 steps i know you get a million of these.",,2026-09-07T13:40:30.163Z
lily92,instagram,INVEST £200 GET £2000 BACK IN 48HRS crypto trading dm for details 📈📈,,2026-09-07T08:12:58.986Z
yaz.87,tiktok,i trust you but i am not spending £60 on a serum. what else is there,,2026-09-06T14:38:23.916Z
gracieldn,instagram,"too many choices. sensitive skin, £38, go",,2026-09-06T08:29:45.064Z
roisin.beauty,instagram,i have 5 mins. give me the two things that matter,,2026-09-06T01:40:05.721Z
niaxo,instagram,what's the minimum i can get away with and still look like i tried thank you!!,,2026-09-05T23:48:13.212Z
evie_x,tiktok,i trust you but i am not spending £80 on a serum. what else is there no rush!,,2026-09-05T22:20:26.006Z
hen.notes,instagram,"my dad is ill and i have not slept properly in a month, it is all on my face",,2026-09-05T19:12:24.686Z
shan.skin,instagram,can you send me the one you would buy if you were me,,2026-09-05T16:57:05.112Z
fernldn,tiktok,INVEST £200 GET £2000 BACK IN 48HRS crypto trading dm for details 📈📈,,2026-09-05T14:23:58.825Z
cleo_london,tiktok,"hey!! combination skin, mid twenties. i do not want options i want one thing. what is it been following since the £50 video.",,2026-09-05T10:05:57.166Z
zainab92,instagram,my skin goes red and cross with almost everything. is the Oil Balm gentle enough,,2026-09-05T06:20:16.199Z
bea_london,tiktok,Hi! I'm reaching out from a talent agency — would you be open to a quick call about representation?,,2026-09-05T05:03:43.751Z
priya_x,instagram,is the Clear Wash okay if my skin is reactive,,2026-09-05T02:43:07.307Z
aishaldn,instagram,what would you do if it was your money i know you get a million of these.,,2026-09-05T00:28:27.592Z
kem.03,tiktok,sorry to dm but i've got a wedding in a month. is the Night Serum actually worth £42 or am i being influenced thank you!!,,2026-09-04T18:35:23.823Z
lex.does.makeup,tiktok,i've got a wedding in a month. my wedding is in two weeks and my skin has picked now to fall apart,,2026-09-04T16:51:53.732Z
gracie.notes,tiktok,i've read everything and i'm more confused than when i started. just pick for me,,2026-09-04T14:16:30.871Z
mo.beauty,instagram,i'm 34 and my skin's changed since having my baby. everyone says the Soft Clean but £22 for a cleanser? really?,,2026-09-04T12:31:58.055Z
lily92,instagram,i already have the SPF 50. do i need the Soft Clean too or is that overkill,,2026-09-04T09:00:55.162Z
lex92,instagram,i trust you more than Sephora tbh,,2026-09-04T06:07:38.328Z
kayleigh_x,tiktok,hiya redness on my cheeks that never really goes. i've got sensitive skin and i'm scared of serums. is there one that won't set me off i know you get a million of these.,,2026-09-04T05:42:54.942Z
jen.skin,tiktok,i trust you but i am not spending £60 on a serum. what else is there thank you!!,,2026-09-04T05:17:49.540Z
shan92,instagram,"darker skin, marks stay for months. i've screenshotted your whole shelf and i'm working through it",,2026-09-04T03:35:40.096Z
lily_london,instagram,if you could only keep ONE of these which one,,2026-09-04T02:29:11.647Z
lily.and.co,instagram,🔥 GROW TO 250K FOLLOWERS IN 30 DAYS ✅ real uk accounts ✅ no password ✅ dm BOOST,,2026-09-04T00:39:52.011Z
priya.face,tiktok,"oily t-zone, dry everywhere else. ok but what's actually on your shelf right now, not the sponsored stuff",,2026-09-03T18:46:07.223Z
jen_london,tiktok,Hi Maya! 💕 We'd love to send you our new serum line for an honest review — just 4 in-feed posts and 2 stories. Shall I send the deck?,,2026-09-03T18:24:17.721Z
aisha_x,tiktok,i'm 34 and my skin's changed since having my baby. if you could only keep ONE of these which one,,2026-09-03T17:07:20.477Z
dani.03,tiktok,redness on my cheeks that never really goes. i trust you but i am not spending £60 on a serum. what else is there,,2026-09-03T14:36:56.719Z
bea.face,instagram,sorry to dm but dry and flaky since october. forget the brand. what would YOU buy,,2026-09-03T12:36:46.040Z
kemxo,tiktok,every time i try something new my face freaks out. where do i even start no rush!,,2026-09-03T07:20:40.281Z
kayleighldn,instagram,i do not want options i want one thing. what is it,,2026-09-03T04:10:23.016Z
sadeldn,instagram,dry and flaky since october. i work nights and my routine is upside down. what actually matters,,2026-09-03T04:04:32.611Z
priyass,instagram,Collab opportunity!! We pay per post. Reply INFO for our rate card 💰,,2026-09-03T04:01:32.856Z
roisin.face,tiktok,"london, hard water, if that matters. does the Daily Gel have fragrance in it? everything with fragrance hates me i know you get a million of these.",,2026-09-02T23:46:31.956Z
kem.03,instagram,can you send me the one you would buy if you were me i know you get a million of these.,,2026-09-02T22:38:56.070Z
anya_x,instagram,redness on my cheeks that never really goes. i've got £62 and that's genuinely it. what do i buy,,2026-09-02T08:04:49.272Z
roisin.beauty,instagram,"FREE SKINCARE BUNDLE 🎁 just cover shipping, link in bio",,2026-09-02T06:27:17.678Z
ruthxo,instagram,redness on my cheeks that never really goes. why is everything £60 now. is there a version of the Glass Drop that isn't,,2026-09-02T01:54:55.789Z
anyaldn,tiktok,everyone says the Clear Wash but £20 for a cleanser? really?,,2026-09-01T23:17:03.995Z
ruth.does.makeup,tiktok,forget the brand. what would YOU buy,,2026-09-01T22:23:18.134Z
hen_london,instagram,can you send me the one you would buy if you were me,,2026-09-01T16:49:46.984Z
ola.does.makeup,instagram,"i'm 34 and my skin's changed since having my baby. can you make me a routine but only 2 products, i will not do 8 steps",,2026-09-01T15:15:44.200Z
immy.beauty,instagram,redness on my cheeks that never really goes. every time i try something new my face freaks out. where do i even start,,2026-09-01T08:54:32.879Z
jen.skin,tiktok,hey babe check my page 😘,,2026-09-01T05:24:02.121Z
jen_uk,instagram,Hi! I'm reaching out from a talent agency — would you be open to a quick call about representation?,,2026-09-01T05:20:36.256Z
zainab.and.co,instagram,"hiya dry and flaky since october. can you make me a routine but only 2 products, i will not do 8 steps",,2026-09-01T04:45:21.293Z
evie.87,tiktok,the Clear Wash is £20 which is a whole week of food for me. talk me through it,,2026-09-01T04:33:41.430Z
bea_uk,instagram,redness on my cheeks that never really goes. graduating next friday and my mum will be photographing every second of it,,2026-09-01T00:28:14.326Z
eviess,tiktok,"hey!! london, hard water, if that matters. what would you do if it was your money",,2026-08-31T22:15:52.343Z
lex.notes,instagram,Collab opportunity!! We pay per post. Reply INFO for our rate card 💰,,2026-08-31T16:52:40.333Z
sadexo,instagram,i've got a wedding in a month. i have 5 mins. give me the two things that matter,,2026-08-31T15:48:37.959Z
dani92,tiktok,first holiday since everything happened. i want to feel good in photos,,2026-08-31T12:31:26.250Z
tilda_x,tiktok,redness on my cheeks that never really goes. what would you do if it was your money,,2026-08-31T10:50:24.475Z
maeve.notes,instagram,i've got a wedding in a month. does the Glass Drop have fragrance in it? everything with fragrance hates me,,2026-08-31T07:45:46.857Z
fern.03,instagram,i saw the thing you recommended last week. buying it payday,,2026-08-31T07:24:39.378Z
kem.face,instagram,hi maya i trust you but i am not spending £60 on a serum. what else is there thank you!!,,2026-08-31T05:40:04.709Z
immy_london,tiktok,i don't even know what my skin type is honestly no rush!,,2026-08-30T23:05:21.824Z
jen.skin,tiktok,"darker skin, marks stay for months. i've read everything and i'm more confused than when i started. just pick for me",,2026-08-30T21:52:44.132Z
zainab.notes,tiktok,hey babe check my page 😘,,2026-08-30T21:37:53.621Z
maeve.beauty,tiktok,every time i try something new my face freaks out. where do i even start,,2026-08-30T21:14:51.198Z
evieldn,tiktok,does the Daily Gel have fragrance in it? everything with fragrance hates me,,2026-08-30T20:03:07.578Z
noor.does.makeup,instagram,forget the brand. what would YOU buy happy to use your link.,,2026-08-30T19:27:02.482Z
moldn,instagram,forget the brand. what would YOU buy thank you!!,,2026-08-30T18:32:09.184Z
anya_uk,instagram,the Glass Drop or the Night Serum? i want your answer not a list,,2026-08-30T16:32:11.869Z
bea.skin,instagram,Hi Maya! 💕 We'd love to send you our new serum line for an honest review — just 3 in-feed posts and 1 stories. Shall I send the deck?,,2026-08-30T15:20:54.282Z
henss,instagram,"darker skin, marks stay for months. can you send me the one you would buy if you were me been following since the £50 video.",,2026-08-30T15:20:07.316Z
evie.does.makeup,tiktok,"hey!! can you make me a routine but only 2 products, i will not do 8 steps been following since the £50 video.",,2026-08-30T12:23:35.740Z
maeve.03,instagram,INVEST £200 GET £2000 BACK IN 48HRS crypto trading dm for details 📈📈,,2026-08-30T11:42:11.148Z
olass,instagram,hiya i work nights and my routine is upside down. what actually matters,,2026-08-30T09:05:19.529Z
lily_x,instagram,i've read everything and i'm more confused than when i started. just pick for me happy to use your link.,,2026-08-30T08:12:36.394Z
maeve_x,tiktok,just wanted to say thank you. my skin is the best it has been in years,,2026-08-30T07:57:10.736Z
henldn,tiktok,dry and flaky since october. everyone says the Daily Gel but £24 for a moisturiser? really?,,2026-08-30T05:04:56.549Z
bellass,instagram,"hey!! london, hard water, if that matters. too many choices. sensitive skin, £22, go",,2026-08-30T03:59:32.370Z
noor.beauty,tiktok,is the Glass Drop actually worth £62 or am i being influenced happy to use your link.,,2026-08-30T02:59:29.541Z
yaz.does.makeup,instagram,what's the minimum i can get away with and still look like i tried,,2026-08-30T00:59:24.810Z
niass,tiktok,"student budget, sorry. can you make me a routine but only 2 products, i will not do 8 steps",,2026-08-29T22:51:59.459Z
roisin_london,instagram,"london, hard water, if that matters. is it worth saving for the Night Serum or is the cheap one fine",,2026-08-29T18:44:30.303Z
cleo.03,tiktok,everyone says the Tint Veil but £34 for a base? really?,,2026-08-29T18:16:30.631Z
gracie.skin,tiktok,"can you make me a routine but only 2 products, i will not do 8 steps",,2026-08-29T17:13:08.194Z
kem.face,instagram,"hiya can you make me a routine but only 2 products, i will not do 8 steps",,2026-08-29T15:56:12.726Z
niass,tiktok,"sorry to dm but darker skin, marks stay for months. is it worth saving for the Clear Wash or is the cheap one fine",,2026-08-28T21:52:20.504Z
mo.87,tiktok,is the Daily Gel okay if my skin is reactive,,2026-08-28T17:54:04.751Z
bea_london,instagram,the Daily Gel or the Cloud Cream? i want your answer not a list,,2026-08-28T15:00:26.364Z
roisinss,tiktok,"london, hard water, if that matters. i have been on steroid cream for eight weeks and my face is worse",,2026-08-28T13:50:20.849Z
noor.notes,tiktok,i've got sensitive skin and i'm scared of serums. is there one that won't set me off been following since the £50 video.,,2026-08-28T13:20:16.036Z
gracie_london,instagram,starting chemo next month and i have been told my skin will change,,2026-08-28T12:25:14.946Z
ruth92,tiktok,my skin goes red and cross with almost everything. is the Glass Drop gentle enough,,2026-08-28T10:32:42.104Z
shan.beauty,instagram,"darker skin, marks stay for months. forget the brand. what would YOU buy",,2026-08-28T08:51:02.786Z
zainab92,tiktok,i already have the Night Serum. do i need the Soft Clean too or is that overkill,,2026-08-28T05:59:51.479Z
fern.87,tiktok,i'm 34 and my skin's changed since having my baby. i have 5 mins. give me the two things that matter,,2026-08-28T04:17:35.855Z
maeveldn,tiktok,"student budget, sorry. my skin goes red and cross with almost everything. is the Glass Drop gentle enough",,2026-08-28T00:54:26.181Z
evie.03,tiktok,"Hello dear, we are a Turkish beauty brand seeking UK influencers for long term cooperation. Gifting only at this stage.",,2026-08-27T22:28:01.891Z
mo.and.co,tiktok,We're launching a serum in Q1 and Maya feels like the perfect fit for our UK push. Media kit attached — best email for your manager?,,2026-08-27T21:29:58.641Z
shanxo,tiktok,i've got a wedding in a month. what's the one thing worth buying if i buy nothing else,,2026-08-27T18:32:31.138Z
cleo92,tiktok,would you repurchase the Night Serum or was it a one time thing,,2026-08-27T12:21:18.795Z
roisin_uk,tiktok,"combination skin, mid twenties. what's the minimum i can get away with and still look like i tried i know you get a million of these.",,2026-08-27T11:58:03.703Z
aisha.notes,instagram,does the Soft Clean have fragrance in it? everything with fragrance hates me,,2026-08-27T11:57:33.345Z
tilda.does.makeup,instagram,hiya there are 500 versions of this. just tell me,,2026-08-27T11:42:40.749Z
priya.notes,tiktok,"dry and flaky since october. can you make me a routine but only 2 products, i will not do 8 steps",,2026-08-27T07:43:21.961Z
kem_uk,instagram,can you send me the one you would buy if you were me,,2026-08-27T06:23:23.262Z
cleo.skin,instagram,going through a divorce and i want to feel like a person again,,2026-08-27T05:34:33.337Z
bella.03,tiktok,i've got a wedding in a month. is the Cloud Cream okay if my skin is reactive,,2026-08-27T00:59:37.726Z
cleo_uk,tiktok,i trust you but i am not spending £60 on a serum. what else is there,,2026-08-26T20:50:12.081Z
sade.face,tiktok,"no question, i just think you are the only honest one left on here",,2026-08-26T20:30:16.597Z
kayleigh.and.co,instagram,hiya genuinely which of these do you use and which did you get sent,,2026-08-26T16:41:12.932Z
lily_london,tiktok,"ok but what's actually on your shelf right now, not the sponsored stuff",,2026-08-26T11:45:20.270Z
mo.does.makeup,tiktok,"Hello dear, we are a Spanish beauty brand seeking UK influencers for long term cooperation. Gifting only at this stage.",,2026-08-26T08:54:09.427Z
ruth.03,tiktok,"too many choices. red skin, £24, go thank you!!",,2026-08-26T06:42:24.832Z
mo.87,instagram,forget the brand. what would YOU buy,,2026-08-26T05:22:07.594Z
sade.does.makeup,tiktok,if you could only keep ONE of these which one,,2026-08-26T01:43:47.092Z
bella92,instagram,i already have the Oil Balm. do i need the Night Serum too or is that overkill thank you!!,,2026-08-25T20:55:49.890Z
